Year Purchased,Manufacturer,Model,Number, Unit Price , Total Price ,Authority,Request data,Notes,Order of entry,76,76
2009,SmartNav,SmartNAV 4 Pro ,1, £320.00 , £320.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,118,,
2009,Liberator,Springboard Lite ,1," £1,794.00 "," £1,794.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,119,,
2009,Inclusive,SuperTalker,1, £220.00 , £220.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,120,,
2009,Adaptivation,VoicePal 8,1, £123.26 , £123.26 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,121,,
2010,#N/A,Big Points,10,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,122,,
2010,Attainment Company Inc,Go Talk 9+,1, £104.00 , £104.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,123,,
2010,Attainment Company Inc,Go Talk 20+,1, £114.00 , £114.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,124,,
2010,Orgin Instruments,HeadMouse Exteme,1, £648.92 , £648.92 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,125,,
2010,Dynavox,Maestro,2," £4,995.00 "," £9,990.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,126,,
2010,SMARTBOX ASSISTIVE TECHNOLOGY LTD                                ,Powerbox 7,2," £3,950.00 "," £7,900.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,127,,
2010,Attainment Company Inc,Go Talk Pocket,2, £135.00 , £270.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,128,,
2010,SmartNav,SmartNAV 4,1, £270.00 , £270.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,129,,
2010,Viliv,S5,2, £390.66 , £781.32 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,Might mean S5? ,130,,
2010,Viliv,S70,3, £-   , £-   ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,131,,
2009,Geemarc ,CLA9T Digital Personal Communicators,50, £59.99 ," £2,999.50 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,132,,
2010,AI Squared,Zoomtext 9.1 Magnifier USB,1, £430.00 , £430.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,133,,
2010,#N/A,PenFriend Labelling Pen,2,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,134,,
2010,Olympus,Digital Recorder,4, £80.00 , £320.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,135,,
2010,#N/A,Sennheiser Headphones,4,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,136,,
2005/06 ,#N/A,Pathfinder,1,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,137,,
2005/06 ,Servox,Digital Electronic Larynx,1, £520.00 , £520.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,138,,
2005/06 ,Crescendo,Crescendo 50,1, £71.75 , £71.75 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,139,,
2006/07 ,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,140,,
